epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.467,1.65508,2.6841,1.59989,0.99939,0.5,0.52473,0.35246,1.43499,2.27495,1.57455,0.000550272,0.000550272,0.000550272
2,573.388,1.62076,1.97601,1.58563,0.91698,0.88921,0.96234,0.48829,1.45251,1.64521,1.53923,0.00109499,0.00109499,0.00109499
3,804.359,1.58123,1.53568,1.53035,0.87282,0.98214,0.92995,0.48882,1.53607,1.31358,1.59133,0.00162871,0.00162871,0.00162871
4,1053.58,1.52407,1.3807,1.52034,0.93289,0.98214,0.97045,0.48732,1.47846,1.23869,1.58942,0.00161749,0.00161749,0.00161749
5,1310.81,1.47553,1.23722,1.47098,0.97734,0.69228,0.96545,0.53262,1.42274,1.4364,1.55675,0.00160099,0.00160099,0.00160099
6,1562.72,1.46523,1.12427,1.44605,0.91065,0.91436,0.95692,0.50766,1.55171,1.22728,1.69352,0.00158448,0.00158448,0.00158448
7,1803.27,1.42951,1.08526,1.44755,0.99066,1,0.995,0.65157,1.13134,0.79374,1.28752,0.00156798,0.00156798,0.00156798
8,2067.8,1.39543,1.01089,1.37384,0.98768,0.98924,0.995,0.67715,1.15442,0.76449,1.31689,0.00155148,0.00155148,0.00155148
9,2311.13,1.34363,0.94194,1.37357,0.97714,0.99113,0.99379,0.64506,1.1518,0.79006,1.31509,0.00153497,0.00153497,0.00153497
10,2577.72,1.39786,0.95604,1.38269,0.87281,0.94643,0.9526,0.60425,1.26418,0.79391,1.33961,0.00151847,0.00151847,0.00151847
11,2843.19,1.34934,0.90727,1.36296,1,0.99626,0.995,0.66522,1.18055,0.81681,1.30188,0.00150197,0.00150197,0.00150197
12,3139.86,1.36411,0.87886,1.35512,0.99765,1,0.995,0.64093,1.19331,0.68008,1.31276,0.00148546,0.00148546,0.00148546
13,3403.55,1.30728,0.84486,1.3232,0.99491,1,0.995,0.68094,1.10404,0.64959,1.24268,0.00146896,0.00146896,0.00146896
14,3648.9,1.29569,0.86285,1.31654,0.98532,1,0.995,0.70935,1.08184,0.62083,1.24135,0.00145246,0.00145246,0.00145246
15,3889.26,1.36327,0.86406,1.35641,0.98339,1,0.995,0.66367,1.08957,0.63722,1.23751,0.00143595,0.00143595,0.00143595
16,4134.39,1.29966,0.83489,1.30962,0.99649,0.98993,0.99462,0.70566,1.11127,0.61004,1.22426,0.00141945,0.00141945,0.00141945
17,4370.54,1.31259,0.83605,1.321,0.99404,0.99119,0.995,0.70307,1.09432,0.61245,1.19621,0.00140295,0.00140295,0.00140295
18,4599.52,1.30213,0.78031,1.30741,0.99494,0.99579,0.995,0.69418,1.08916,0.58407,1.2439,0.00138644,0.00138644,0.00138644
19,4830.95,1.25545,0.79622,1.29512,0.99643,1,0.995,0.71952,0.95506,0.51365,1.11623,0.00136994,0.00136994,0.00136994
20,5075.5,1.27892,0.78396,1.29668,0.99452,1,0.995,0.73867,0.98388,0.54834,1.14059,0.00135344,0.00135344,0.00135344
21,5316.98,1.25726,0.77933,1.2953,0.99654,1,0.995,0.71429,1.01756,0.52852,1.13146,0.00133693,0.00133693,0.00133693
22,5560.4,1.27793,0.76185,1.28197,0.99738,1,0.995,0.65264,1.18815,0.55849,1.21147,0.00132043,0.00132043,0.00132043
23,5790.06,1.26213,0.73005,1.28352,0.9966,1,0.995,0.71141,1.08752,0.56566,1.27775,0.00130393,0.00130393,0.00130393
24,6017.74,1.23385,0.71588,1.27482,0.99537,0.9994,0.995,0.70969,1.07213,0.54031,1.14027,0.00128742,0.00128742,0.00128742
25,6246.1,1.25302,0.74411,1.27076,0.99507,1,0.995,0.68857,1.03439,0.52176,1.11916,0.00127092,0.00127092,0.00127092
26,6474,1.25738,0.72284,1.27536,0.99776,1,0.995,0.68216,1.09003,0.52986,1.14847,0.00125442,0.00125442,0.00125442
27,6706.01,1.24488,0.72132,1.25379,0.99771,1,0.995,0.75586,0.96729,0.51471,1.09432,0.00123791,0.00123791,0.00123791
28,6932.96,1.21116,0.70957,1.25138,0.99534,1,0.995,0.75073,0.98282,0.51916,1.09393,0.00122141,0.00122141,0.00122141
29,7161.05,1.19635,0.70312,1.2286,0.9972,1,0.995,0.70258,1.04207,0.50113,1.11156,0.00120491,0.00120491,0.00120491
30,7389.26,1.19906,0.67767,1.23612,0.9973,1,0.995,0.70634,1.0464,0.48774,1.14177,0.0011884,0.0011884,0.0011884
31,7615.88,1.23304,0.70004,1.2574,0.99585,1,0.995,0.67517,1.11637,0.54567,1.14881,0.0011719,0.0011719,0.0011719
32,7843.04,1.23095,0.69673,1.25383,0.99513,1,0.995,0.70035,1.04206,0.49553,1.13426,0.0011554,0.0011554,0.0011554
33,8070.15,1.19428,0.68223,1.22165,0.99647,1,0.995,0.73921,0.99751,0.49993,1.11834,0.00113889,0.00113889,0.00113889
34,8297.52,1.1826,0.6751,1.23696,0.99412,1,0.995,0.73144,1.00048,0.50327,1.08934,0.00112239,0.00112239,0.00112239
35,8525.24,1.18802,0.66488,1.23025,0.99632,1,0.995,0.72562,1.00034,0.48684,1.08775,0.00110589,0.00110589,0.00110589
36,8754.47,1.18973,0.68204,1.2125,0.99586,1,0.995,0.68018,1.06615,0.51232,1.1186,0.00108938,0.00108938,0.00108938
37,8982.46,1.171,0.63636,1.21981,0.99693,1,0.995,0.73105,1.03831,0.56256,1.10751,0.00107288,0.00107288,0.00107288
38,14823.8,1.21014,0.66297,1.22218,0.99714,1,0.995,0.76467,0.92745,0.47315,1.06976,0.00105638,0.00105638,0.00105638
39,15052.9,1.15746,0.64682,1.21447,0.99812,1,0.995,0.7386,0.99744,0.49746,1.06495,0.00103987,0.00103987,0.00103987
40,15281.7,1.1467,0.64205,1.21299,0.99653,0.99965,0.995,0.72964,0.99848,0.48712,1.10308,0.00102337,0.00102337,0.00102337
41,15510.3,1.17303,0.65243,1.22551,0.99802,1,0.995,0.7318,1.01408,0.59835,1.11529,0.00100687,0.00100687,0.00100687
42,15747.9,1.1564,0.6298,1.19605,0.99793,1,0.995,0.72329,1.00761,0.51164,1.10986,0.000990365,0.000990365,0.000990365
43,15984.7,1.16141,0.65464,1.20599,0.99632,1,0.995,0.69293,1.04334,0.49412,1.13285,0.000973861,0.000973861,0.000973861
44,16228.2,1.14733,0.62653,1.19585,0.99591,1,0.995,0.70899,1.06452,0.45777,1.11773,0.000957358,0.000957358,0.000957358
45,16459.4,1.14845,0.6278,1.20054,0.99728,1,0.995,0.72431,1.03521,0.46706,1.10182,0.000940855,0.000940855,0.000940855
46,16690.1,1.11311,0.61819,1.17719,0.99777,1,0.995,0.76404,0.94649,0.44718,1.06252,0.000924352,0.000924352,0.000924352
47,16921.3,1.15095,0.63871,1.21102,0.99637,1,0.995,0.70886,1.06422,0.48124,1.18188,0.000907848,0.000907848,0.000907848
48,17153.2,1.16455,0.61492,1.21001,0.99508,1,0.995,0.72471,1.00467,0.46355,1.09069,0.000891345,0.000891345,0.000891345
49,17378.7,1.15259,0.62859,1.20392,0.99838,0.99095,0.995,0.71046,1.0403,0.47981,1.10726,0.000874842,0.000874842,0.000874842
50,17598.3,1.12076,0.60514,1.17741,0.99542,0.99987,0.995,0.73795,0.99799,0.44784,1.09186,0.000858338,0.000858338,0.000858338
51,17820.3,1.14649,0.62773,1.18051,0.9953,1,0.995,0.73036,1.05064,0.46093,1.12422,0.000841835,0.000841835,0.000841835
52,18041.3,1.11795,0.60884,1.17338,0.99528,1,0.995,0.71251,1.06589,0.46375,1.12693,0.000825332,0.000825332,0.000825332
53,18261.9,1.13671,0.60987,1.19734,0.99513,1,0.995,0.73467,1.0237,0.46864,1.10107,0.000808828,0.000808828,0.000808828
54,18491.6,1.09025,0.59471,1.16083,0.99808,1,0.995,0.73093,1.04204,0.45686,1.12897,0.000792325,0.000792325,0.000792325
55,18725.4,1.11029,0.59078,1.1908,0.99614,1,0.995,0.76486,0.97221,0.42913,1.08034,0.000775822,0.000775822,0.000775822
56,18956.3,1.09108,0.59336,1.15428,0.99328,1,0.995,0.75155,0.99512,0.44315,1.08027,0.000759318,0.000759318,0.000759318
57,19186.2,1.10023,0.57261,1.18043,0.99381,1,0.995,0.74858,1.0168,0.44868,1.11085,0.000742815,0.000742815,0.000742815
58,19417.7,1.06806,0.58524,1.15089,0.99771,1,0.995,0.73511,1.04521,0.4448,1.12969,0.000726312,0.000726312,0.000726312
59,19647.7,1.08161,0.57313,1.15988,0.9968,1,0.995,0.7434,1.00498,0.4377,1.07857,0.000709809,0.000709809,0.000709809
60,19879.3,1.08369,0.59996,1.15698,0.99594,1,0.995,0.71204,1.12112,0.46908,1.12637,0.000693305,0.000693305,0.000693305
61,20121.4,1.11886,0.5876,1.1832,0.99592,1,0.995,0.73811,0.98909,0.442,1.06652,0.000676802,0.000676802,0.000676802
62,20425.2,1.10482,0.59222,1.17722,0.99748,1,0.995,0.74169,1.05427,0.46756,1.09158,0.000660299,0.000660299,0.000660299
63,20712.5,1.06666,0.55712,1.14686,0.99695,1,0.995,0.75811,1.01866,0.42828,1.10656,0.000643795,0.000643795,0.000643795
64,21010.4,1.05492,0.54168,1.15323,0.99727,1,0.995,0.73424,1.04087,0.44078,1.10178,0.000627292,0.000627292,0.000627292
65,21301.9,1.05188,0.55203,1.13992,0.99614,1,0.995,0.74369,1.01436,0.43685,1.08996,0.000610789,0.000610789,0.000610789
